Process,Temp,Current,NG
1,76.04198315231801,1.491,정상
1,73.31247367223635,1.516,정상
1,75.53366359223965,1.722,정상
1,74.74042366970423,1.66,정상
1,75.04518510357609,1.711,정상
1,75.47249049518311,1.692,정상
1,71.01093857044455,1.699,정상
1,73.19333628680197,1.71,정상
1,71.28386418628695,1.608,정상
1,72.3394548018018,1.657,정상
1,71.49933688835523,1.614,정상
1,73.81608582210924,1.638,정상
1,70.01093857044455,1.619,정상
1,71.19333628680197,1.671,정상
1,72.28386418628695,1.585,정상
1,71.04151574872014,1.6505448766264916,정상
1,72.49933688835523,1.637,정상
1,70.81608582210924,1.57,정상
1,71.04198315231801,1.642,정상
1,70.31247367223635,1.603,정상
1,68.53366359223965,1.608,정상
1,68.74042366970423,1.592,정상
1,70.04518510357609,1.551,정상
1,69.47249049518311,1.556,정상
1,69.00784572726687,1.586,정상
1,66.11937724252256,1.573,정상
1,69.12181233844662,1.562,정상
1,69.06197573575812,1.497,정상
1,69.0864964282445,1.564,정상
1,68.25677527359753,1.563,정상
1,64.04198315231801,1.564,정상
1,66.31247367223635,1.545,정상
1,64.53366359223965,1.449,정상
1,64.74042366970423,1.5,정상
1,68.04518510357609,1.46,정상
1,67.47249049518311,1.465,정상
2,73.04198315231801,1.54,정상
2,75.31247367223635,1.527,정상
2,80.97946284845501,1.795954279408766,정상
2,74.74042366970423,1.705,정상
2,88.3486116219019,1.9345025598391423,정상
2,77.47249049518311,1.693,정상
2,73.20403500015834,1.744,정상
2,73.87178422074807,1.755,정상
2,74.49957940787253,1.657,정상
2,75.86391347156295,1.672,정상
2,75.9081485396546,1.687,정상
2,73.66209655792429,1.718,정상
2,70.01093857044455,1.719,정상
2,69.19333628680197,1.668,정상
2,69.28386418628695,1.585,정상
2,72.3394548018018,1.566,정상
2,70.49933688835523,1.569,정상
2,69.81608582210924,1.637,정상
2,70.20403500015834,1.595,정상
2,77.9197643491875,1.7619877471965055,정상
2,71.49957940787253,1.589,정상
2,71.86391347156295,1.581,정상
2,70.9081485396546,1.619,정상
2,69.66209655792429,1.627,정상
2,66.13914228339809,1.605,정상
2,68.66042141558682,1.577,정상
2,69.1776601448583,1.497,정상
2,68.58643440551927,1.554,정상
2,69.87710395778115,1.566,정상
2,68.01353466824737,1.552,정상
2,67.00784572726687,1.582,정상
2,67.11937724252256,1.539,정상
2,64.12181233844662,1.516,정상
2,65.06197573575812,1.519,정상
2,66.0864964282445,1.451,정상
2,66.25677527359753,1.472,정상
3,73.20403500015834,1.495,정상
3,74.87178422074807,1.5,정상
3,77.49957940787253,1.657,정상
3,74.86391347156295,1.695,정상
3,74.9081485396546,1.755,정상
3,74.66209655792429,1.695,정상
3,73.00784572726687,1.696,정상
3,74.11937724252256,1.691,정상
3,72.12181233844662,1.653,정상
3,74.06197573575812,1.679,정상
3,72.0864964282445,1.632,정상
3,72.25677527359753,1.677,정상
3,70.08489761472396,1.632,정상
3,69.47081535284565,1.636,정상
3,71.84317473479867,1.587,정상
3,78.42818859249667,1.709035741990314,정상
3,72.55671042933152,1.626,정상
3,72.93957562396797,1.634,정상
3,70.13914228339809,1.643,정상
3,71.66042141558682,1.651,정상
3,71.1776601448583,1.588,정상
3,70.58643440551927,1.622,정상
3,69.87710395778115,1.612,정상
3,72.01353466824737,1.598,정상
3,68.01093857044455,1.581,정상
3,68.19333628680197,1.631,정상
3,67.28386418628695,1.539,정상
3,73.27096549207313,1.7042211168608845,정상
3,66.49933688835523,1.523,정상
3,69.81608582210924,1.501,정상
3,67.08489761472396,1.505,정상
3,65.47081535284565,1.581,정상
3,66.84317473479867,1.518,정상
3,67.18546553761685,1.481,정상
3,66.55671042933152,1.513,정상
3,65.93957562396797,1.52,정상
4,76.08489761472396,1.506,정상
4,83.35642075892949,1.6478923566794812,정상
4,73.84317473479867,1.723,정상
4,77.18546553761685,1.709,정상
4,75.55671042933152,1.672,정상
4,74.93957562396797,1.748,정상
4,71.04198315231801,1.711,정상
4,73.31247367223635,1.697,정상
4,74.53366359223965,1.608,정상
4,71.74042366970423,1.659,정상
4,75.04518510357609,1.687,정상
4,72.47249049518311,1.624,정상
4,71.04198315231801,1.699,정상
4,69.31247367223635,1.641,정상
4,71.53366359223965,1.608,정상
4,70.74042366970423,1.569,정상
4,71.04518510357609,1.62,정상
4,78.58966124489548,1.7854065716845606,정상
4,71.00784572726687,1.608,정상
4,69.11937724252256,1.595,정상
4,68.12181233844662,1.607,정상
4,68.06197573575812,1.565,정상
4,70.0864964282445,1.542,정상
4,68.25677527359753,1.54,정상
4,68.13914228339809,1.586,정상
4,67.66042141558682,1.545,정상
4,67.1776601448583,1.543,정상
4,67.58643440551927,1.531,정상
4,67.87710395778115,1.521,정상
4,71.01353466824737,1.53,정상
4,64.00784572726687,1.536,정상
4,66.11937724252256,1.608,정상
4,64.12181233844662,1.448,정상
4,67.06197573575812,1.497,정상
4,67.0864964282445,1.451,정상
4,64.25677527359753,1.517,정상
5,74.20403500015834,1.518,정상
5,75.87178422074807,1.454,정상
5,75.49957940787253,1.68,정상
5,74.86391347156295,1.719,정상
5,77.9081485396546,1.709,정상
5,74.66209655792429,1.695,정상
5,73.13914228339809,1.765,정상
5,74.66042141558682,1.691,정상
5,74.1776601448583,1.656,정상
5,75.58643440551927,1.69,정상
5,75.87710395778115,1.679,정상
5,76.01353466824737,1.712,정상
5,69.08489761472396,1.718,정상
5,70.47081535284565,1.722,정상
5,69.84317473479867,1.564,정상
5,73.18546553761685,1.595,정상
5,73.55671042933152,1.581,정상
5,72.93957562396797,1.657,정상
5,71.01093857044455,1.666,정상
5,68.19333628680197,1.652,정상
5,71.28386418628695,1.607,정상
5,69.3394548018018,1.544,정상
5,70.49933688835523,1.614,정상
5,70.81608582210924,1.57,정상
5,67.00784572726687,1.596,정상
5,68.11937724252256,1.603,정상
5,68.12181233844662,1.517,정상
5,67.06197573575812,1.541,정상
5,68.0864964282445,1.542,정상
5,66.25677527359753,1.518,정상
5,65.13914228339809,1.541,정상
5,64.66042141558682,1.499,정상
5,65.1776601448583,1.474,정상
5,68.58643440551927,1.463,정상
5,66.87710395778115,1.475,정상
5,66.01353466824737,1.552,정상
6,75.04198315231801,1.514,정상
6,73.31247367223635,1.494,정상
6,73.53366359223965,1.7,정상
6,74.74042366970423,1.66,정상
6,76.04518510357609,1.665,정상
6,74.47249049518311,1.693,정상
6,72.13914228339809,1.722,정상
6,73.66042141558682,1.687,정상
6,73.1776601448583,1.633,정상
6,75.58643440551927,1.668,정상
6,74.87710395778115,1.657,정상
6,75.01353466824737,1.712,정상
6,69.13914228339809,1.696,정상
6,72.66042141558682,1.698,정상
6,71.1776601448583,1.565,정상
6,71.58643440551927,1.645,정상
6,73.87710395778115,1.611,정상
6,72.01353466824737,1.621,정상
6,70.08489761472396,1.673,정상
